index,source,target
65,中級ニャ向けに開発された、{j}万能型の大剣。どんな場面{j}でもそれなりに活躍できる。,
66,いつドカーンといくか{j}誰にも分からない…。{j}危険極まりない武器。,
67,とあるキノコをモチーフに{j}して作られたステッキ。{j}注：食べ物ではありません。,
68,とあるキノコをモチーフに{j}して作られたステッキ。{j}注：食べ物ではありません。,
69,別世界の弓兵が愛用する{j}弓を獣人族に合わせて{j}改造した弓。,
70,別世界の騎士王が有する{j}聖剣を獣人族に合わせて{j}改造した剣。,
71,さかなの骨を象った剣。{j}おしゃれさと奇抜さで{j}獣人族の間で大流行中。,
72,異国の踊り好きの職人が仕立{j}てたというキラキラ光る{j}ハンマー。フィーニャー！,
73,ゼルレウスの素材を贅沢に{j}使用して作られた剣。{j}非常に美しい逸品。,
74,もこもことした手触りだが{j}あたると痛い、ポカラドン{j}の武器。,
75,川遊びが好きな職人が{j}作成したハンマー。{j}きょろりとした瞳が愛らしい。,
76,川遊びが好きな職人が{j}作成したハンマー。{j}きょろりとした瞳が愛らしい。,
77,釣り好きの職人が相棒の{j}ために作ったハンマー。{j}大魚を呼び寄せるとか。,
78,釣り好きの職人が相棒の{j}ために作ったハンマー。{j}珍魚を呼び寄せるとか。,
79,釣り好きの職人が相棒の{j}ために作ったハンマー。{j}高価な魚を呼び寄せるとか。,
80,闇夜を総べる騎士団に{j}属する獣人族のために{j}造られた剣。,
81,異世界に住む新種の生物の{j}愛用品を模したハンマー。{j}謎の文字が書かれている。,
82,獣人族用に作られた大巌竜の{j}剣。全身に力が溢れてくる{j}らしい。,
83,獣人族用に作られた大巌竜の{j}剣。大巌竜の鼓動が伝わって{j}くるとか。,
84,獰竜の素材を使用した銃槍を{j}模した剣。獣人族用に最適化{j}されている。,
85,氷獰竜の素材を使用した{j}銃槍を模した剣。獣人族用{j}に作られた一級品。,
86,異国好きな職人の手による、{j}風変わりな獣人族の剣。{j}装飾が愛らしい逸品。,
87,狩人祭好きな職人による{j}獣人族用のハンマー。{j}狩人達の熱き魂が宿る。,
88,古代の技法を使用し獣人{j}族用に作られたハンマー。{j}振ると気分が高揚するらしい。,
89,キャラバンの民に協力して{j}いく中で作られた獣人族{j}用のハンマー。,
90,異国の特殊機関により造られ{j}た、獣人族用の剣。獣人族の{j}人形が埋め込まれている。,
91,異国好きな職人の手による、{j}風変わりな獣人族の剣。{j}非常に愛らしい造り。,
92,いつドカーンといくか{j}誰にも分からない…。{j}日々導線が短くなるらしい。,
93,0,
94,0,
95,0,
96,0,
97,0,
98,0,
99,0,
100,制覇を成し遂げたハンターに{j}贈られるおめでたい剣。{j}東の国で作られたもの。,
101,東の国から来た職人が{j}手がけたという剣。{j}すべてを集めると…？,
102,東の国から来た職人が{j}手がけたという槌。{j}すべてを集めると…？,
103,東の国から来た職人が{j}手がけたという槌。{j}すべてを集めると…？,
104,東の国から来た職人が{j}手がけたという剣。{j}すべてを集めると…？,
105,東の国から来た職人が{j}手がけたという槌。{j}すべてを集めると…？,
106,東の国から来た職人が{j}手がけたという槌。{j}すべてを集めると…？,
107,東の国から来た職人が{j}手がけたという槌。{j}すべてを集めると…？,
108,東の国から来た職人が{j}手がけたという槌。{j}すべてを集めると…？,
109,グークの卵に似せて作ら{j}れた獣人族のハンマー。{j}羽よりも軽いらしい。,
110,東ヨリ日出ヅルクニヨリ{j}千歳ニ渡リ受ケ継ガレシ{j}獣人族ノ刀。,
111,革命と進化を掲げた某国の{j}騎士団の剣を模した、{j}獣人族用の剣。,
112,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
113,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
114,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
115,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
116,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
117,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
118,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
119,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
120,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
121,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
122,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
123,英雄と呼ばれた狩人の相棒の{j}剣を模した武器。愛と勇気が{j}たくさん詰まっている。,
124,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
125,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
126,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
127,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
128,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
129,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
130,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
131,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
132,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
133,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
134,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
135,英雄と呼ばれた狩人の相棒の{j}斧を模した武器。愛と勇気が{j}たくさん詰まっている。,
136,薔薇の皇帝と呼ばれた少女が{j}作り上げた剣を獣人族用に{j}模した武器。,
137,救国の乙女と呼ばれた少女が{j}振りかざした旗を獣人族用{j}に模した武器。,
138,大きな大きな焼鳥を模した、{j}獣人族用の打属性武器。{j}食べ物では遊ばないように！,
139,0,
140,0,
141,0,
142,0,
143,0,
144,0,
145,0,
146,0,
147,0,
148,0,
149,0,
150,0,
151,0,
152,0,
153,0,
154,0,
155,0,
156,0,
157,0,
158,0,
159,0,
160,0,
161,0,
162,0,
163,0,
164,0,
165,0,
166,0,
167,0,
168,0,
169,0,
170,0,
171,0,
172,0,
173,0,
174,0,
175,0,
176,0,
177,0,
178,0,
179,0,
180,0,
181,0,
182,0,
183,0,
184,0,
185,0,
186,0,
187,0,
188,0,
189,0,
190,0,
191,0,
192,0,
193,0,
194,0,
195,0,
196,0,
197,0,
198,0,
199,0,
200,0,
201,0,
202,0,
203,0,
204,0,
205,0,
206,0,
207,0,
208,0,
209,0,
210,0,
211,0,
212,0,
213,0,
214,0,
215,0,
216,0,
217,0,
218,0,
219,0,
220,0,
221,0,
222,0,
223,0,
224,0,
225,0,
226,0,
227,0,
228,0,
229,0,
230,0,
231,0,
232,0,
233,0,
234,0,
235,0,
236,0,
237,0,
238,0,
239,0,
240,0,
241,0,
242,0,
243,0,
244,0,
245,0,
246,0,
247,0,
248,0,
249,0,
250,0,
251,0,
252,0,
253,0,
254,0,
255,0,
256,0,
